RSCID,Name,Link,11-1s,GP,11-2s,GP,11-solo3s,GP,11-3s,GP,12-1s,GP,12-2s,GP,12-solo3s,GP,12-3s,GP,13-1s,GP,13-2s,GP,13-solo3s,GP,13-3s,GP,14-1s,GP,14-2s,GP,14-solo3s,GP,14-3s,GP
RSC002462,Virt,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198981108352/overview,0,0,0,0,0,0,0,0,0,0,1057,11,0,0,902,4,448,2,1249,61,0,0,980,33,759,10,1317,187,0,0,1188,45
RSC002462,Virt,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198879596313/overview,709,0,1039,25,0,0,1209,8,622,3,1039,0,0,0,1209,0,622,0,1034,5,0,0,1241,8,622,0,1198,32,0,0,1242,0
RSC001118,Azurified,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198835413531/overview,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,989,36,1534,137,669,0,1592,264
RSC003483,bpdmvp,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198070055498/overview,748,21,1192,135,681,30,1222,155,734,8,1245,160,681,0,1307,531,778,24,1277,172,846,21,1520,422,871,95,1453,283,1001,23,1496,310
RSC003483,bpdmvp,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198966558192/overview,0,0,1127,61,0,0,1101,59,0,0,1255,28,0,0,1222,101,111,13,1183,17,0,0,1312,78,0,21,1098,256,0,0,1344,57
RSC003483,bpdmvp,https://rocketleague.tracker.network/rocket-league/profile/steam/76561199089626248/overview,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RSC003484,Nicksizzle222,https://rocketleague.tracker.network/rocket-league/profile/psn/Nicksizzle222/overview,632,28,1135,252,798,12,1232,127,704,35,1109,205,754,7,1089,47,742,40,1120,297,771,1,1201,99,639,28,1181,965,788,1,1249,405
RSC003485,CrashTarHeel,https://rocketleague.tracker.network/rocket-league/profile/xbl/CrashTarHeel/overview,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316,23,522,280,487,2,415,369
RSC003486,THEdemonBELIAL,https://rocketleague.tracker.network/rocket-league/profile/psn/THEdemonBELIAL/overview,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512,1,802,123,478,0,851,10,609,14,1013,493,528,5,790,28
RSC003487,Jellyman III,https://rocketleague.tracker.network/rocket-league/profile/xbl/Jellyman%20III/overview,0,0,557,219,0,0,744,138,0,0,517,37,0,0,735,8,0,0,0,0,0,0,0,0,572,119,901,913,658,44,1019,133
RSC003488,DatCaptainDaddy,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198974443658/overview,0,0,0,0,0,0,0,0,678,14,1118,124,0,0,1236,137,829,19,1170,191,0,0,1182,155,785,11,1309,225,0,0,1135,85
RSC003489,KSI ITzGIBBY,https://rocketleague.tracker.network/rocket-league/profile/xbl/KSI%20ITzGIBBY/overview,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287,17,273,306,316,39,317,123
RSC003489,KSI ITzGIBBY,https://rocketleague.tracker.network/rocket-league/profile/xbl/NotaRLSmurf4708/overview,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,436,20,0,0,515,11
RSC003489,KSI ITzGIBBY,https://rocketleague.tracker.network/rocket-league/profile/xbl/Geti%20Goku/overview,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296,14,610,2,701,10
RSC003490,Mythic<('o'<),https://rocketleague.tracker.network/rocket-league/profile/xbl/o%20mythic%200/overview,1089,9,1543,261,909,5,1343,108,1103,1,1400,9,909,0,1368,7,1053,12,1527,243,1001,12,1466,72,1091,11,1547,80,1018,1,1587,114
RSC003490,Mythic<('o'<),https://rocketleague.tracker.network/rocket-league/profile/steam/76561199062130806/overview,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1123,45,1721,304,789,3,1749,307
RSC003491,Bama,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198085722683/overview,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,649,224,1180,615,737,55,1003,174,865,390,1324,583,856,66,1361,286
RSC003492,BVBCOLD11,https://rocketleague.tracker.network/rocket-league/profile/psn/BVBCOLD11/overview,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,779,27,0,0,1046,71,528,21,831,287,521,1,851,76
RSC003493,skelotonjack,https://rocketleague.tracker.network/rocket-league/profile/steam/76561199022810302/overview,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,839,15,1012,22,771,28,921,34
RSC003493,skelotonjack,https://rocketleague.tracker.network/rocket-league/profile/xbl/skeloton%20jack/overview,472,10,486,127,479,8,366,8,472,0,543,15,511,2,359,3,512,5,567,3,592,22,359,0,564,18,814,108,520,27,659,23
RSC003494,I 13th sign I,https://rocketleague.tracker.network/rocket-league/profile/xbl/I%2013th%20sign%20I/overview,607,0,965,1039,672,0,1018,237,608,8,1090,1552,672,0,1149,713,609,46,1129,1698,672,0,1168,334,724,130,1239,1695,672,0,1186,453
RSC003494,I 13th sign I,https://rocketleague.tracker.network/rocket-league/profile/xbl/I%20SIGN%20I/overview,0,0,0,0,0,0,0,0,0,0,814,21,0,0,1116,48,0,0,856,35,0,0,1025,47,0,0,996,78,0,0,1182,290
RSC003494,I 13th sign I,https://rocketleague.tracker.network/rocket-league/profile/xbl/vlabx13/overview,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,877,27
RSC003495,knitt,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198415327198/overview,627,3,1265,43,526,1,1162,21,1003,31,1561,254,950,33,1556,254,1066,4,1665,183,950,0,1641,220,1066,0,1700,198,950,0,1824,502
RSC003495,knitt,https://rocketleague.tracker.network/rocket-league/profile/steam/76561199015743082/overview,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433,70,1004,171,0,0,1322,254,346,66,1250,116,968,10,1615,180
RSC003496,Giving An L,https://rocketleague.tracker.network/rocket-league/profile/xbl/Giving%20an%20L/overview,708,5,1002,8,729,8,1091,15,670,11,1137,263,622,69,1125,83,765,77,1165,336,651,117,1100,188,809,97,1154,833,757,48,1194,95
RSC003497,odayzed,https://rocketleague.tracker.network/rocket-league/profile/xbl/odayzed/overview,490,32,919,269,707,42,934,109,487,9,896,245,784,8,964,11,543,10,923,288,753,4,940,41,582,133,1087,1417,753,0,1084,308
RSC003498,Merioch,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198031667617/overview,450,8,1063,22,819,321,1207,110,496,11,1069,35,891,419,1168,172,511,5,1040,31,846,258,1229,141,586,13,1263,111,909,630,1266,439
RSC003499,Phaze,https://rocketleague.tracker.network/rocket-league/profile/steam/76561197972862155/overview,748,10,1265,112,783,4,1434,278,748,0,1208,44,783,0,1500,119,748,4,1287,18,838,14,1438,178,761,40,1372,187,869,8,1562,393
RSC003499,Phaze,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198069527422/overview,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,683,5,1147,36,0,0,1166,127
